GROSS SQUARE FEET	 SALE PRICE 
"6,664"	"25,385,186"
"6,626"	"5,800,000"
"6,605"	"4,300,000"
"6,600"	0
"6,560"	0
"6,555"	0
"6,545"	"8,225,000"
"6,528"	0
"6,510"	"9,000,000"
"6,506"	"7,750,000"
"6,498"	0
"6,470"	"2,512,500"
"6,444"	"10,250,000"
"6,410"	0
"6,401"	"8,500,000"
"6,400"	"1,545,938"
"6,375"	0
"6,375"	"14,025,000"
"6,370"	"235,000"
"6,366"	"2,820,000"
"6,361"	0
"6,346"	0
"6,285"	"9,200,000"
"6,275"	3
"6,272"	"10,800,000"
"6,248"	"2,291,500"
"6,245"	0
"6,240"	"2,360,000"
"6,233"	0
"6,225"	0
"6,225"	0
"6,193"	"9,811,125"
"6,184"	"2,650,000"
"6,171"	"1,800,000"
"6,160"	0
"6,148"	"1,800,000"
"6,144"	"23,000,000"
"6,135"	"3,530,000"
"6,092"	"1,519,619"
"6,084"	0
"6,084"	"5,600,000"
"6,078"	"7,900,000"
"6,048"	"6,000,000"
"6,024"	0
"6,024"	"8,500,000"
"6,020"	0
"6,015"	"3,450,000"
"6,000"	0
"6,000"	"7,200,000"
"6,000"	0
"6,000"	"515,714"
"5,989"	"8,150,000"
"5,980"	0
"5,980"	"4,250,000"
"5,970"	"4,500,000"
"5,960"	0
"5,960"	"13,084,250"
"5,952"	"6,415,000"
"5,930"	0
"5,925"	"14,000,000"
"5,925"	0
"5,913"	0
"5,913"	"4,500,000"
"5,913"	"12,800,000"
"5,896"	0
"5,870"	"4,650,000"
"5,850"	0
"5,845"	0
"5,845"	"8,425,000"
"5,840"	"4,770,311"
"5,840"	0
"5,794"	0
"5,782"	"5,300,000"
"5,780"	"8,700,000"
"5,761"	0
"5,760"	"4,500,000"
"5,760"	"6,000,000"
"5,740"	"5,800,018"
"5,731"	"4,100,000"
"5,729"	0
"5,720"	"7,250,000"
"5,702"	"6,000,000"
"5,700"	0
"5,696"	"5,681,250"
"5,648"	"1,198,250"
"5,640"	"9,700,000"
"5,625"	"21,051,758"
"5,620"	0
"5,610"	"2,505,309"
"5,600"	"5,012,500"
"5,595"	"7,625,000"
"5,582"	"4,100,000"
"5,550"	"1,500,000"
"5,535"	"5,200,000"
"5,529"	0
"5,528"	"6,000,000"
"5,516"	0
"5,516"	"5,133,956"
"5,513"	0
"5,512"	"6,350,000"
"5,503"	"20,000,000"
"5,500"	0
"5,500"	0
"5,500"	0
"5,500"	0
"5,486"	"6,500,000"
"5,476"	"11,200,000"
"5,472"	0
"5,460"	0
"5,460"	"4,400,000"
"5,450"	"7,770,311"
"5,425"	"9,450,000"
"5,420"	0
"5,404"	"5,750,000"
"5,400"	0
"5,400"	"3,445,325"
"5,400"	"5,025,000"
"5,378"	0
"5,374"	0
"5,368"	"6,500,000"
"5,360"	"800,000"
"5,347"	"7,825,000"
"5,335"	0
"5,334"	"4,500,000"
"5,324"	"11,800,000"
"5,300"	"9,995,000"
"5,292"	0
"5,275"	0
"5,250"	0
"5,250"	"4,400,000"
"5,250"	"5,300,000"
"5,236"	"11,500,000"
"5,235"	"2,500,000"
"5,220"	0
"5,207"	10
"5,205"	"5,145,000"
"5,200"	0
